Player,SR
DS de Silva (SL),53.69
S Chattergoon (WI),60.16
PJ Forrest (AUS),65.59
DW Steyn (Afr/SA),64.94
WM Darling (AUS),53.46
Mohammad Amir (PAK),81.75
SP Narine (WI),82.31
SS Karim (INDIA),64.64
R Rampaul (WI),76.69
Shahriar Hossain (BDESH),53.07
SW Ambris (WI),101.97
Asif Ali (PAK),128.92
DG Brownlie (NZ),74.27
Hazratullah Zazai (AFG),88.26
WK McCallan (IRE),86.15
RC Irani (ENG),65.57
Mushfiqur Rahman (BDESH),52.17
BJ Patel (KENYA),48.91
AD Brown (ENG),82.9
ADS Fletcher (WI),64.48
Nasir Jamal (AFG),65.54
Wajahatullah Wasti (PAK),48.94
Aaron Jones (USA),66.79
MA Starc (AUS),89.46
Zahid Fazal (PAK),59.58
RR Pant (INDIA),105.48
RDB Croft (ENG),66.47
Ashfaq Ahmed (UAE),88.88
GP Wickramasinghe (SL),63.35
DNT Zoysa (SL),95.81
HH Kanitkar (INDIA),66.21
M Vijay (INDIA),66.99
BE Congdon (NZ),71.61
CM Old (ENG),84.28
Shadab Khan (PAK),68.63
MG Burgess (NZ),65.24
NM Hauritz (AUS),96.27
SD Outerbridge (BMUDA),54.9
Tapash Baisya (BDESH),58.33
SS Pathirana (SL),86.68
KA Edwards (WI),67.0
Manjural Islam Rana (BDESH),49.55
S Mukuddem (BMUDA),50.92
Adnan Mufti (UAE),80.68
Asif Iqbal (PAK),70.81
ZE Surkari (CAN),50.0
DJ Capel (ENG),68.26
MH Yardy (ENG),69.06
ML Nkala (ZIM),61.59
Saeed Ajmal (PAK),60.56
RP Snell (SA),97.57
KJJ van Noortwijk (NL),75.23
Anwar Ali (PAK),87.46
CA Walsh (WI),71.17
RB McCosker (AUS),51.36
DR Brown (ENG/SCOT),66.32
HP Rinke (ZIM),83.86
Faisal Iqbal (PAK),60.5
NAM McLean (WI),81.98
Mohammad Sami (PAK),64.08
B Wood (ENG),48.53
VV Morea (PNG),68.04
RC Fredericks (WI),70.68
BR Hartland (NZ),49.91
Chirag Suri (UAE),56.88
N Chopra (INDIA),62.24
BC Hollioake (ENG),81.1
Nafees Iqbal (BDESH),54.4
KAJ Roach (WI),53.47
Ihsanullah (AFG),69.77
DM Benkenstein (SA),65.87
TK Musakanda (ZIM),79.58
LE Bosman (Afr/SA),98.68
CMW Read (ENG),73.17
WKM Benjamin (WI),73.39
GS Ballance (ENG),67.04
PA Nixon (ENG),85.59
Zahoor Elahi (PAK),58.57
CJA Amini (PNG),68.83
DN Crookes (SA),71.84
AJ Pycroft (ZIM),52.67
DR Tuffey (NZ),79.3
DL Murray (WI),62.82
SJ Myburgh (NL),86.72
JL Denly (ENG),65.54
SE Bond (NZ),76.04
P Kumar (INDIA),88.21
SM Sharif (SCOT),74.11
Tanwir Afzal (HKG),114.5
RN Lewis (WI),79.29
DA Reeve (ENG),74.8
CS Pandit (INDIA),72.5
Sanwar Hossain (BDESH),48.57
SMSM Senanayake (SL),93.24
JN Gillespie (AUS),78.53
IDR Bradshaw (WI),59.79
KM Curran (ZIM),66.74
LG Howell (NZ),73.96
MK Tiwary (INDIA),71.21
D Lloyd (ENG),54.18
VJ Marks (ENG),65.66
JAR Blain (SCOT),54.93
NO Miller (WI),79.1
LP van Troost (NL),62.28
A Dananjaya (SL),68.85
MA Holding (WI),74.8
MA Jones (SCOT),70.07
Hasan Ali (PAK),113.36
S Randiv (SL),73.29
CL King (WI),104.86
RS Sodhi (INDIA),73.49
DJ Willey (ENG),82.3
KC Brathwaite (WI),57.55
JE Taylor (WI),86.06
AV Vadher (KENYA),54.29
Mehrab Hossain jnr (BDESH),42.99
JM Anderson (ENG),48.66
DT Christian (AUS),88.92
GH Worker (NZ),71.76
SW Billings (ENG),90.93
JW Hastings (AUS),99.26
DT Tiripano (ZIM),57.9
Umar Amin (PAK),69.13
AM Bacher (SA),57.56
Jahurul Islam (BDESH),72.77
KBJ Azad (INDIA),67.25
AD Gaekwad (INDIA),52.84
AW Greig (ENG),71.16
M Morkel (Afr/SA),75.7
Aaqib Javed (PAK),58.55
Shamsur Rahman (BDESH),76.0
CA Soper (PNG),53.42
JM Vince (ENG),88.62
Afsar Zazai (AFG),54.09
MH Denness (ENG),63.3
S Jyoti (CAN),59.72
SP Patil (UAE),65.09
HJW Gardiner (SCOT),66.16
Mohammad Saifuddin (BDESH),81.36
Naved Latif (PAK),62.82
Aizaz Khan (HKG),69.51
MD Patel (USA),66.32
AR McBrine (IRE),72.75
K Rabada (SA),77.77
Ahmed Raza (UAE),55.72
KJ Wadsworth (NZ),77.24
ML Udawatte (SL),67.1
SS Dighe (INDIA),60.8
R Edwards (AUS),73.06
AD Poynter (IRE),61.89
N Vanua (PNG),87.88
S Ranatunga (SL),48.09
IP Butchart (ZIM),63.79
NM Coulter-Nile (AUS),96.18
J Edness (BMUDA),62.53
JFM Morrison (NZ),53.38
HA Varaiya (KENYA),51.53
H Klaasen (SA),86.25
JJ Atkinson (HKG),62.81
JAH Marshall (NZ),79.87
CT Radley (ENG),68.11
AR Caddick (ENG),63.03
GF Labrooy (SL),71.14
JD Campbell (WI),115.88
JM Parker (NZ),61.53
RB Reid (NZ),55.35
RH Vance (NZ),51.55
